symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
PIIND,2022-11-11,2022-11-21,3559.9777499999996,3309.95,55,-14206.644374999945,-7.255737061839756,-0.5937749091847386,6,ema_close
ETERNAL,2022-11-14,2022-11-21,72.982,64.06,2744,-24921.419599999994,-12.444369844619217,-1.0179500112082494,5,stop
FORTIS,2022-11-17,2022-11-22,293.3315,284.6,668,-6307.92399999997,-3.21922466560869,-0.2633920477525336,3,ema_close
RPGLIFE,2022-10-03,2022-11-29,810.4209999999999,872.8,229,13785.113000000012,7.427867737879455,0.6078601649988397,38,ema_close
AEGISLOG,2022-10-24,2022-11-30,298.494375,317.0,648,11478.10500000004,5.934157050698213,0.48563203618979234,25,ema_close
VEDL,2022-11-10,2022-11-30,154.91742775,152.66,1306,-3446.6355415,-1.7035383225306617,-0.13935777259929075,14,ema_close
ESCORTS,2022-11-22,2022-12-14,2195.475,2230.0,87,2518.6500000000233,1.3186212550814866,0.10791165781381151,16,ema_close
MANAPPURAM,2022-11-16,2022-12-19,116.941625,115.8,1698,-2430.0502500000002,-1.2237943503863573,-0.10013731818460116,23,ema_close
KIRLOSENG,2022-11-21,2022-12-19,322.70474999999993,321.6,593,-1131.8887499999546,-0.591484940956067,-0.04840274123710498,20,ema_close
BHEL,2022-11-29,2022-12-19,82.0045,81.25,2407,-2305.003374999971,-1.1677712808443295,-0.09552845528455176,14,ema_close
EPL,2022-12-19,2022-12-21,191.527625,168.12,1040,-24781.041999999987,-12.440985993534868,-1.0179556875163538,2,stop
JTLIND,2022-09-26,2022-12-22,58.44825625,79.88,3166,67220.6505125,36.32622273483137,2.9702409940885914,60,ema_close
PNB,2022-11-14,2022-12-22,45.020169749999994,53.9,2158,18871.883179500015,19.424805145253828,1.5870800078346068,28,ema_close
ENGINERSIN,2022-11-21,2022-12-22,78.49574999999999,81.55,2439,6952.064625000028,3.631247551619052,0.29704556704791363,23,ema_close
TATACOMM,2022-12-14,2022-12-22,1370.868625,1286.0,148,-13036.376499999984,-6.42538777193182,-0.525813920690907,6,ema_close
JKTYRE,2022-11-30,2022-12-23,194.033875,183.25,1001,-11253.241999999998,-5.793833679814928,-0.474068451486735,17,ema_close
AHLUCONT,2022-12-19,2022-12-23,477.99199999999996,447.55,413,-13034.641375000007,-6.602804021824636,-0.5403149181675003,4,ema_close
DALMIASUG,2022-12-21,2022-12-23,413.03,362.56,422,-21680.840799999947,-12.438902743142116,-1.0179591836734676,2,stop
PRICOLLTD,2022-12-22,2022-12-23,202.505,177.76,954,-24030.687600000005,-12.438902743142148,-1.0179591836734694,1,stop
RBLBANK,2022-11-01,2022-12-26,136.54049999999998,149.6,1353,17163.481500000024,9.290650026915106,0.7600431383122153,38,ema_close
APOLLOTYRE,2022-11-30,2022-12-26,313.48175,306.5,620,-4803.75999999998,-2.4715952364052987,-0.2022356065697854,18,ema_close
CONFIPET,2022-12-23,2022-12-26,80.30024999999999,75.25,2336,-12236.843999999983,-6.523485294254991,-0.5334258292813319,1,ema_close
HUHTAMAKI,2022-12-23,2022-12-26,216.48987499999998,198.9,866,-15663.450249999965,-8.354720977135749,-0.6835680440667226,1,ema_close
SALZERELEC,2022-12-23,2022-12-26,244.55987499999998,230.0,767,-11608.449124999985,-6.188617409131396,-0.506354576591571,1,ema_close
IOLCP,2022-12-22,2023-01-03,80.13293275,73.03,2413,-17579.93020074998,-9.091777250596124,-0.7439556602693914,8,ema_close
CCL,2022-12-28,2023-01-09,563.054125,529.0,329,-11638.909624999971,-6.2829883361568335,-0.5141643033757048,8,ema_close
PNBHOUSING,2022-12-19,2023-01-23,390.223125,447.65,510,28716.952500000043,14.429629202523579,1.1808737367779507,25,ema_close
ARVSMART,2022-12-29,2023-01-23,317.94287499999996,299.45,582,-11198.552999999985,-6.051873312147654,-0.49524005623779405,17,ema_close
